city,temperature,time
Busan,18.99,2024-04-16 11:28:52
Seoul,14.66,2024-04-16 11:28:52
London,8.17,2024-04-16 03:28:52
Busan,18.99,2024-04-16 11:29:02
Seoul,14.66,2024-04-16 11:29:02
London,8.19,2024-04-16 03:29:03
Busan,18.99,2024-04-16 11:29:13
Seoul,14.66,2024-04-16 11:29:13
London,8.19,2024-04-16 03:29:13
Busan,18.99,2024-04-16 11:29:23
Seoul,14.66,2024-04-16 11:29:24
London,8.19,2024-04-16 03:29:24
Busan,18.99,2024-04-16 11:29:34
Seoul,14.66,2024-04-16 11:29:34
London,8.19,2024-04-16 03:29:34
Busan,18.99,2024-04-16 11:29:44
Seoul,14.66,2024-04-16 11:29:45
London,8.19,2024-04-16 03:29:45
Busan,18.99,2024-04-16 11:29:55
Seoul,14.66,2024-04-16 11:29:55
London,8.19,2024-04-16 03:29:55
Busan,18.99,2024-04-16 11:30:05
Seoul,14.66,2024-04-16 11:30:06
London,8.19,2024-04-16 03:30:06
Busan,18.99,2024-04-16 11:30:16
Seoul,14.66,2024-04-16 11:30:16
London,8.19,2024-04-16 03:30:16
Busan,18.99,2024-04-16 11:30:27
Seoul,14.66,2024-04-16 11:30:27
London,8.19,2024-04-16 03:30:27
Busan,18.99,2024-04-16 11:30:38
Seoul,14.66,2024-04-16 11:30:38
London,8.19,2024-04-16 03:30:38
Busan,18.99,2024-04-16 11:30:48
Seoul,12.64,2024-04-16 11:30:49
London,8.19,2024-04-16 03:30:49
Busan,18.99,2024-04-16 11:30:59
Seoul,12.64,2024-04-16 11:30:59
London,8.19,2024-04-16 03:30:59
Busan,18.99,2024-04-16 11:31:09
Seoul,12.64,2024-04-16 11:31:10
London,8.19,2024-04-16 03:31:10
Busan,18.99,2024-04-16 11:31:20
Seoul,12.64,2024-04-16 11:31:20
London,8.19,2024-04-16 03:31:20
Busan,18.99,2024-04-16 11:31:31
Seoul,12.64,2024-04-16 11:31:31
London,8.19,2024-04-16 03:31:31
Busan,18.99,2024-04-16 11:31:41
Seoul,12.64,2024-04-16 11:31:41
London,8.19,2024-04-16 03:31:41
Busan,18.99,2024-04-16 11:31:52
Seoul,12.64,2024-04-16 11:31:52
London,8.19,2024-04-16 03:31:52
Busan,18.99,2024-04-16 11:32:02
Seoul,12.64,2024-04-16 11:32:02
London,8.19,2024-04-16 03:32:03
Busan,18.99,2024-04-16 11:32:13
Seoul,12.64,2024-04-16 11:32:13
London,8.19,2024-04-16 03:32:13
Busan,18.99,2024-04-16 11:36:21
Seoul,12.64,2024-04-16 11:36:22
London,8.2,2024-04-16 03:36:22
Busan,18.99,2024-04-16 11:38:02
Seoul,12.64,2024-04-16 11:38:02
London,8.18,2024-04-16 03:38:02
Busan,18.99,2024-04-16 11:39:43
Seoul,12.64,2024-04-16 11:39:43
London,8.2,2024-04-16 03:39:43
Busan,18.99,2024-04-16 11:41:23
Seoul,12.64,2024-04-16 11:41:23
London,8.15,2024-04-16 03:41:23
Busan,18.99,2024-04-16 11:43:04
Seoul,12.64,2024-04-16 11:43:04
London,8.21,2024-04-16 03:43:04
Busan,18.99,2024-04-16 11:44:44
Seoul,12.64,2024-04-16 11:44:44
London,8.15,2024-04-16 03:44:45
Busan,18.99,2024-04-16 11:46:25
Seoul,12.64,2024-04-16 11:46:25
London,8.21,2024-04-16 03:46:25
Busan,19.99,2024-04-16 11:48:05
Seoul,12.64,2024-04-16 11:48:06
London,8.15,2024-04-16 03:48:06
Busan,19.99,2024-04-16 11:49:46
Seoul,12.64,2024-04-16 11:49:46
London,8.21,2024-04-16 03:49:46
Busan,19.99,2024-04-16 11:51:27
Seoul,12.64,2024-04-16 11:51:27
London,8.22,2024-04-16 03:51:27
Busan,19.99,2024-04-16 11:53:08
Seoul,12.64,2024-04-16 11:53:08
London,8.22,2024-04-16 03:53:08
Busan,19.99,2024-04-16 11:54:49
Seoul,12.64,2024-04-16 11:54:49
London,8.22,2024-04-16 03:54:49
Busan,19.99,2024-04-16 11:56:29
Seoul,12.64,2024-04-16 11:56:29
London,8.22,2024-04-16 03:56:30
Busan,19.99,2024-04-16 11:58:10
Seoul,12.64,2024-04-16 11:58:10
London,8.22,2024-04-16 03:58:10
Busan,19.99,2024-04-16 11:59:50
Seoul,12.64,2024-04-16 11:59:51
London,8.22,2024-04-16 03:59:51
Busan,19.99,2024-04-16 12:01:31
Seoul,12.64,2024-04-16 12:01:31
London,8.28,2024-04-16 04:01:31
Busan,19.99,2024-04-16 12:03:12
Seoul,12.64,2024-04-16 12:03:12
London,8.28,2024-04-16 04:03:12
Busan,19.99,2024-04-16 12:04:52
Seoul,12.64,2024-04-16 12:04:52
London,8.28,2024-04-16 04:04:53
Busan,19.99,2024-04-16 12:06:33
Seoul,12.64,2024-04-16 12:06:33
London,8.28,2024-04-16 04:06:33
Busan,19.99,2024-04-16 12:08:13
Seoul,12.64,2024-04-16 12:08:14
London,8.28,2024-04-16 04:08:14
